id gender height weight age
1 M 177 88 34
2 M 168 80 41
3 M 176 84 28
4 F 158 47 25
5 M 168 76 44
6 M 163 69 27
7 F 169 47 30
8 F 158 48 39
9 F 159 49 20
10 M 164 83 41
11 M 184 69 32
12 M 166 85 38
13 M 172 81 29
14 M 170 83 29
15 M 184 77 46
16 M 181 66 48
17 M 179 79 31
18 M 166 71 42
19 M 185 68 31
20 F 168 45 36
21 M 179 86 41
22 F 160 47 21
23 M 176 83 30
24 M 180 65 48
25 M 175 62 41
26 M 177 80 27
27 M 176 79 42
28 F 155 49 33
29 M 169 89 46
30 F 173 48 36
31 M 160 68 41
32 M 181 70 28
33 F 172 47 38
34 M 173 67 38
35 M 164 70 32
36 M 177 88 25
37 M 161 71 47
38 M 165 89 45
39 F 171 47 39
40 F 173 46 24
41 M 170 68 42
42 M 161 73 43
43 M 183 68 31
44 M 187 86 38
45 M 161 88 33
46 F 164 46 36
47 F 161 47 22
48 F 164 46 27
49 M 173 73 25
50 M 172 79 32
51 F 168 46 21
52 F 160 49 30
53 F 169 49 21
54 M 186 73 29
55 M 172 80 34
56 F 173 45 26
57 F 160 48 31
58 M 182 89 35
59 M 181 84 48
60 M 171 81 36
61 F 172 45 27
62 M 185 63 48
63 F 158 49 34
64 F 164 46 39
65 M 165 68 40
66 F 155 49 23
67 M 174 82 26
68 M 183 67 40
69 F 166 46 36
70 M 189 83 38
71 M 173 89 46
72 M 162 76 31
73 M 160 77 25
74 F 168 45 22
75 M 178 63 30
76 M 162 65 35
77 M 181 76 46
78 F 171 45 32
79 M 188 83 29
80 M 176 82 42
81 F 165 49 23
82 M 177 85 30
83 F 167 46 29
84 M 175 81 43
85 F 156 48 38
86 F 166 45 36
87 F 169 47 35
88 M 172 82 48
89 M 174 79 37
90 F 159 47 38
91 M 166 68 47
92 F 166 48 31
93 M 181 74 28
94 F 167 45 38
95 M 185 60 37
96 M 160 69 39
97 M 163 84 25
98 M 174 79 40
99 M 188 86 49
100 M 172 78 31
101 M 163 77 44
102 M 172 65 44
103 M 188 87 27
104 M 172 70 41
105 M 169 74 29
106 M 168 72 31
107 M 175 65 37
108 M 160 87 35
109 M 171 72 33
110 M 160 67 38
111 M 189 79 25
112 F 158 47 31
113 M 164 65 33
114 F 167 45 25
115 M 171 76 45
116 M 171 79 45
117 F 158 46 35
118 M 180 89 37
119 M 171 68 34
120 M 180 63 27
121 M 187 71 40
122 F 165 46 38
123 M 178 74 41
124 M 161 67 25
125 F 169 49 23
126 F 172 48 38
127 M 172 77 27
128 F 160 48 23
129 F 162 48 35
130 M 189 66 32
131 F 156 45 27
132 M 181 69 27
133 F 174 47 32
134 M 181 76 46
135 M 180 75 29
136 M 165 70 30
137 M 187 83 33
138 M 171 61 45
139 M 180 79 41
140 F 166 45 38
141 M 179 87 45
142 M 167 68 49
143 M 166 66 43
144 F 155 46 23
145 M 162 67 35
146 F 160 47 20
147 M 172 79 45
148 M 180 79 36
149 M 180 64 39
150 M 162 77 40
151 F 168 48 20
152 M 181 60 45
153 M 188 62 35
154 M 170 71 27
155 M 169 78 44
156 M 181 72 42
157 M 183 67 39
158 M 161 62 25
159 M 161 88 44
160 M 186 87 37
161 M 185 79 36
162 M 177 76 29
163 M 170 79 49
164 F 165 45 28
165 M 180 79 45
166 F 171 46 20
167 M 178 61 43
168 F 162 45 36
169 M 184 62 31
170 M 187 61 27
171 M 177 72 43
172 M 175 86 26
173 M 182 83 29
174 M 187 72 28
175 M 188 78 35
176 F 173 46 25
177 M 175 66 40
178 F 168 49 39
179 M 171 62 36
180 F 167 49 20
181 F 171 45 24
182 F 172 46 39
183 F 166 47 25
184 F 155 48 39
185 F 159 47 37
186 M 165 60 43
187 M 161 87 39
188 F 160 47 33
189 F 171 46 22
190 M 170 74 39
191 F 161 47 34
192 M 189 84 39
193 F 165 49 31
194 M 164 67 30
195 F 166 45 24
196 F 155 46 20
197 F 164 47 31
198 M 177 72 42
199 M 169 87 25
200 F 158 46 33
201 M 177 68 38
202 M 187 83 27
203 F 174 46 36
204 M 182 84 28
205 M 181 77 35
206 F 161 49 32
207 F 155 46 23
208 F 167 47 26
209 M 187 82 33
210 M 183 77 45
211 F 155 45 25
212 F 156 49 38
213 M 163 64 31
214 M 181 63 43
215 M 171 63 31
216 M 183 72 35
217 F 158 49 22
218 M 162 76 37
219 F 163 48 25
220 M 172 71 36
221 M 188 77 25
222 M 168 78 45
223 F 161 48 37
224 M 189 88 49
225 F 169 47 29
226 M 187 78 42
227 M 166 60 26
228 F 171 48 25
229 M 176 75 25
230 M 174 72 30
231 M 161 67 44
232 M 180 77 48
233 M 188 74 40
234 M 163 70 37
235 M 182 72 34
236 F 161 49 25
237 M 180 76 25
238 M 162 79 49
239 F 170 48 29
240 F 170 49 34
241 M 160 70 28
242 F 159 46 37
243 M 185 73 31
244 M 167 88 45
245 M 160 82 26
246 F 167 48 26
247 M 174 64 38
248 M 180 84 26
249 M 163 89 25
250 F 161 49 27
251 M 161 72 30
252 M 180 69 25
253 M 185 61 27
254 M 164 74 40
